Nome ,Endereço  (Logradouro - Número - Bairro - Município - CEP) ,Rótulo,Licenciaturas ,Computação 
Guaraci ,"Praça Oscar Baptista de Carvalho, 657 - Centro - Guaraci - 15420-000 ","Praça Oscar Baptista de Carvalho, 657 - Centro - Guaraci - 15420-000 ",10,10
Guararapes ,"R. José Dalla Pria, 177 - Jardim Continental - Guararapes - 16.700-000 ","R. José Dalla Pria, 177 - Jardim Continental - Guararapes - 16.700-000 ",10,10
Guararema ,"R. Doutor Armindo, 567 - Nogueira - Guararema   08900-000 ","R. Doutor Armindo, 567 - Nogueira - Guararema   08900-000 ",10,10
Guaratinguetá ,"Praça Condessa de Frontin, 76 - Centro - Guaratinguetá - 12500-180 ","Praça Condessa de Frontin, 76 - Centro - Guaratinguetá - 12500-180 ",35,35
Guareí ,"R. Tiradentes, 100 - Centro - Guareí   18250-000 ","R. Tiradentes, 100 - Centro - Guareí   18250-000 ",10,10
Guariba ,"R. Rui Barbosa, 1244 - Jardim Progresso - Guariba   14840-000 ","R. Rui Barbosa, 1244 - Jardim Progresso - Guariba   14840-000 ",10,10
Guarujá ,"Av. Adriano Dias dos Santos, 611 - Jardim Boa Esperança - Guarujá   11470-220 ","Av. Adriano Dias dos Santos, 611 - Jardim Boa Esperança - Guarujá   11470-220 ",50,50
Guarulhos ,"Av. Monteiro Lobato, 734 - Macedo - Guarulhos   07112-000 ","Av. Monteiro Lobato, 734 - Macedo - Guarulhos   07112-000 ",50,50
Herculandia,"R. XV de Novembro, 331 - Centro - Herculandia   17650-000 ","R. XV de Novembro, 331 - Centro - Herculandia   17650-000 ",10,10
Hortolândia ,"R. Capitão Lourival Mey, 750 - Jardim Santana - Hortolândia - 13184-470 ","R. Capitão Lourival Mey, 750 - Jardim Santana - Hortolândia - 13184-470 ",50,50
